Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Reviewed
Chessmaster,XB,2004,Misc,Ubisoft,0.1,0,0,79,12,9,6,Ubisoft,E,YES
Samurai Warriors 2: Empires,PS2,2006,Action,Tecmo Koei,0,0.19,0,55,20,7.3,7,Omega Force,T,YES
RollerCoaster Tycoon 3,PC,2004,Strategy,Atari,0.01,0,0.04,81,39,5,346,Frontier Developments,E,YES
Retro Atari Classics,DS,2005,Misc,Atari,0.12,0,0.01,51,17,3.7,7,Taniko,E,YES
Tom Clancy's Splinter Cell: Blacklist,PC,2013,Action,Ubisoft,0.04,0,0.01,82,13,7.4,754,Ubisoft Toronto,M,YES
Iron Man,Wii,2008,Action,Sega,0.3,0,0.06,44,14,7,8,Artificial Mind and Movement,T,YES
Spectral Force Genesis,DS,2008,Role-Playing,Nobilis,0.08,0.01,0.01,46,8,7,5,"Neverland, Idea Factory",T,YES
Wasteland 2,PC,2015,Role-Playing,inXile Entertainment,0.03,0,0.01,81,65,7.3,1170,InXile Entertainment,M,YES
Sniper Elite,XB,2005,Shooter,Ubisoft,0.07,0,0,77,25,8.5,11,Rebellion,M,YES
Classic NES Series: Donkey Kong,GBA,2004,Platform,Nintendo,0.4,0.17,0.01,55,15,4.8,4,Nintendo,E,YES
Resident Evil: The Umbrella Chronicles,Wii,2007,Action,Capcom,0.67,0.29,0.14,75,47,7.6,122,Cavia Inc.,M,YES
Call of Duty 3,X360,2006,Shooter,Activision,1.49,0.02,0.27,82,71,6.5,233,Treyarch,T,YES
Life is Strange,XOne,2016,Adventure,Square Enix,0.09,0,0.01,85,4,8.7,123,DONTNOD Entertainment,M,YES
Hellboy: The Science of Evil,PS3,2008,Action,Konami Digital Entertainment,0.13,0,0.02,47,23,6.1,10,Krome Studios,T,YES
The Sims: Vacation,PC,2002,Simulation,Electronic Arts,1.72,0,0.14,75,18,7.8,22,Maxis,T,YES
Assassin's Creed: Rogue,PC,2015,Action,Ubisoft,0.05,0,0.01,74,25,7.5,362,Ubisoft,M,YES
The Godfather,PS2,2006,Action,Electronic Arts,0.89,0.01,0.15,75,56,8.3,99,Electronic Arts,M,YES
Orphen: Scion of Sorcery,PS2,2000,Role-Playing,Activision,0.15,0,0.04,54,15,5.8,8,Shade,T,YES
Gekido Advance: Kintaro's Revenge,GBA,2002,Action,Zoo Digital Publishing,0.02,0,0,70,7,7,4,Naps Team,T,YES
MechAssault: Phantom War,DS,2006,Simulation,Majesco Entertainment,0.03,0,0,66,16,4.5,4,Backbone Entertainment,T,YES
Blood Wake,XB,2001,Shooter,Microsoft Game Studios,0.43,0,0.02,71,30,7.5,13,Stormfront Studios,T,YES
Playboy: The Mansion,PS2,2005,Simulation,Ubisoft,0.1,0,0.03,59,33,7.5,18,Cyberlore Studios,M,YES
One Piece: Unlimited World Red,PS3,2014,Action,Namco Bandai Games,0.09,0.06,0.04,71,28,7.3,46,Ganbarion,T,YES
Anno 1701: Dawn of Discovery,DS,2007,Simulation,Touchstone,0.07,0,0.01,78,14,7.5,19,Sunflowers Interactive,E,YES
Touch My Katamari ,PSV,2011,Puzzle,Namco Bandai Games,0.07,0,0.02,69,41,7.4,51,Bandai Namco Games,E10+,YES
Aliens: Colonial Marines,X360,2013,Shooter,Sega,0.36,0,0.07,48,47,3.8,449,Gearbox Software,M,YES
Teenage Mutant Ninja Turtles,PS2,2003,Action,Konami Digital Entertainment,0.45,0,0.12,59,29,8.7,31,KCE Studios,E,YES
Assassin's Creed: Bloodlines,PSP,2009,Action,Ubisoft,0.43,0.05,0.28,63,38,7.2,69,Griptonite Games,M,YES
Watch Dogs 2,PS4,2016,Action,Ubisoft,0.37,0,0.18,83,88,7.8,621,Ubisoft Montreal,M,YES
Sega Superstars Tennis,PS2,2008,Sports,Sega,0.1,0,0.28,70,9,8.3,4,Sumo Digital,E10+,YES
GoldenEye: Rogue Agent,GC,2004,Shooter,Electronic Arts,0.28,0,0.01,60,35,6.7,14,EA LA,T,YES
Zumba Fitness: World Party,XOne,2013,Misc,Majesco Entertainment,0.17,0,0.02,73,5,6.2,40,Zoe Mode,E,YES
Brothers in Arms: Hell's Highway,PS3,2008,Shooter,Ubisoft,0.44,0,0.15,76,48,8,70,Gearbox Software,M,YES
Kirby's Dream Collection: Special Edition,Wii,2012,Action,Nintendo,0.33,0.33,0.02,82,6,8.8,37,HAL Labs,E10+,YES
Die Hard: Vendetta,GC,2002,Shooter,NDA Productions,0.09,0,0,54,23,7,10,Bits Studios,M,YES
Major League Baseball 2K7,PS3,2007,Sports,Spike,0.23,0,0.02,74,19,4.7,7,Kush Games,E,YES
Colin McRae Rally 04,XB,2004,Racing,Codemasters,0.08,0,0,84,33,8.1,19,Codemasters,E,YES
NBA 2K13,X360,2012,Sports,Take-Two Interactive,2.6,0.01,0.19,88,41,7.2,131,Visual Concepts,E,YES
The Getaway,PS2,2002,Action,Sony Computer Entertainment,1.23,0.05,0.49,72,49,6.8,88,Team Soho,M,YES
Blood Omen 2,XB,2002,Action,Eidos Interactive,0.14,0,0.01,76,22,9,9,Crystal Dynamics,M,YES
Way of the Samurai 4,PS3,2011,Action,Nippon Ichi Software,0,0.16,0.01,58,25,6.5,15,Acquire,M,YES
Army of Two: The 40th Day,PS3,2010,Shooter,Electronic Arts,0.44,0.01,0.12,74,56,7,88,EA Montreal,M,YES
Summoner,PS2,2000,Role-Playing,THQ,0.25,0,0.07,74,16,7.8,12,Volition Inc.,T,YES
FIFA Soccer 2005,PS2,2004,Sports,Electronic Arts,0.58,0.04,0.59,81,27,7.6,56,EA Canada,E,YES
LEGO Legends of Chima: Laval's Journey,PSV,2013,Adventure,Warner Bros. Interactive Entertainment,0.01,0,0.03,64,5,6.6,8,TT Games,E10+,YES
Iron Man 2,Wii,2010,Action,Sega,0.15,0,0.03,41,11,4.6,12,High Voltage Software,T,YES
Shattered Union,XB,2005,Strategy,Take-Two Interactive,0.03,0,0,66,17,6.9,7,PopTop Software,T,YES
Overlord,PC,2007,Strategy,Codemasters,0,0,0,81,27,8.1,220,Triumph Studios,T,YES
Harvest Moon: Tree of Tranquility,Wii,2007,Simulation,Rising Star Games,0.67,0.06,0.05,65,18,8.2,28,Marvelous Entertainment,E,YES
SoulCalibur IV,PS3,2008,Fighting,Ubisoft,0.72,0.14,0.2,85,65,7.9,129,Namco,T,YES
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,0.06,0.61,83,94,7.1,1163,"Bungie Software, Bungie",M,YES
Crysis: Warhead,PC,2008,Shooter,Electronic Arts,0,0,0,84,56,7.9,516,Crytek,M,YES
FIFA 14,PS4,2013,Sports,Electronic Arts,0.61,0.11,0.44,87,26,6.3,616,EA Canada,E,YES
Star Wars: Bounty Hunter,PS2,2002,Shooter,LucasArts,0.53,0,0.14,65,32,8.3,33,LucasArts,T,YES
Sacred 3,PC,2014,Role-Playing,Deep Silver,0,0,0,57,47,1.4,544,Deep Silver,M,YES
Sébastien Loeb Rally Evo,XOne,2016,Racing,Milestone S.r.l,0,0,0,63,8,8.2,22,Milestone S.r.l,E,YES
Last Rebellion,PS3,2010,Role-Playing,Nippon Ichi Software,0.06,0.01,0.01,44,30,4.6,34,Hit Maker,T,YES
DiRT 2,PS3,2009,Racing,Codemasters,0.27,0,0.19,87,63,8.2,94,Codemasters,T,YES
Ninja Gaiden: Dragon Sword,DS,2008,Action,Tecmo Koei,0.16,0.02,0.02,83,52,7.8,36,Team Ninja,T,YES
Evil Genius,PC,2004,Strategy,Vivendi Games,0,0,0,75,51,8.3,106,Elixir Studios,T,YES
Classic NES Series: Castlevania,GBA,2004,Platform,Nintendo,0.17,0.09,0.01,74,10,8.6,12,Konami,E,YES
LEGO Batman: The Videogame,PS3,2008,Action,Warner Bros. Interactive Entertainment,0.72,0,0.19,75,24,7.7,33,Traveller's Tales,E10+,YES
Tomb Raider: Anniversary,PSP,2007,Action,Eidos Interactive,0.21,0,0.13,78,32,8.2,28,Crystal Dynamics,T,YES
Aliens versus Predator: Extinction,XB,2003,Strategy,Electronic Arts,0.06,0,0,64,19,7.7,21,Zono Inc.,T,YES
Virtua Tennis 4,Wii,2011,Sports,Sega,0.05,0,0.01,65,15,7.5,4,Sega,E,YES
SpongeBob SquarePants: Battle for Bikini Bottom,GC,2003,Platform,THQ,0.74,0,0.03,71,10,8.6,34,Heavy Iron Studios,E,YES
Mario Golf: World Tour,3DS,2014,Sports,Nintendo,0.15,0.17,0.03,78,73,8.2,76,Camelot Software Planning,E,YES
Red Ninja: End of Honor,XB,2005,Action,Vivendi Games,0.01,0,0,46,25,4,5,Tranji,M,YES
World of Outlaws: Sprint Cars,X360,2010,Racing,THQ,0.17,0,0.01,57,4,8.1,10,Big Ant Studios,E,YES
Kirby: Mass Attack,DS,2011,Platform,Nintendo,0.48,0.41,0.05,83,46,8.6,55,HAL Labs,E,YES
MediEvil: Resurrection,PSP,2005,Adventure,Sony Computer Entertainment,0.19,0,0.22,66,43,8.7,52,SCEE,T,YES
Medal of Honor: Airborne,X360,2007,Shooter,Electronic Arts,0.45,0.01,0.12,73,54,6.7,77,Electronic Arts,T,YES
Champions of Norrath,PS2,2004,Role-Playing,Sony Online Entertainment,0.63,0,0.16,85,51,8.4,57,Snowblind Studios,T,YES
City Crisis,PS2,2001,Simulation,Take-Two Interactive,0.06,0,0.02,63,20,6.2,5,Syscom,E,YES
J Stars Victory Vs.,PSV,2014,Fighting,Namco Bandai Games,0,0.17,0.01,74,5,7.9,29,Bandai Namco Games,T,YES
The Evil Within,PC,2014,Action,Bethesda Softworks,0.1,0,0.02,68,18,5.9,721,Tango Gameworks,M,YES
Two Worlds II,PS3,2011,Role-Playing,Unknown,0.26,0.06,0.05,70,28,7,65,Reality Pump,M,YES
Sacred 3,X360,2014,Role-Playing,Deep Silver,0.03,0,0,51,11,4.1,42,Deep Silver,M,YES
Spider-Man 2,PS2,2004,Action,Activision,1.75,0.02,0.43,80,50,8.9,106,Treyarch,T,YES
Outlaw Volleyball,XB,2003,Sports,TDK Mediactive,0.19,0,0.01,77,33,8.4,7,Hypnotix,M,YES
Pirates of the Caribbean: At World's End,X360,2007,Action,Disney Interactive Studios,0.29,0,0.03,58,42,5.3,21,Eurocom Entertainment Software,T,YES
Shantae and the Pirate's Curse,3DS,2015,Platform,Rising Star Games,0.01,0.03,0,82,18,8.5,86,WayForward,E10+,YES
Dark Souls II,PC,2014,Role-Playing,Namco Bandai Games,0.08,0,0.01,91,36,7.1,2318,From Software,T,YES
Syphon Filter: Logan's Shadow,PSP,2007,Shooter,Sony Computer Entertainment,0.25,0,0.09,85,41,8.8,47,Sony Bend,T,YES
The Walking Dead: Survival Instinct,X360,2013,Shooter,Activision,0.46,0,0.05,32,30,4,410,Terminal Reality,M,YES
Left 4 Dead 2,PC,2009,Shooter,Valve Software,0,0,0.04,89,55,8.5,2530,Valve Software,M,YES
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,0.47,1.78,95,62,8.7,730,Rockstar North,M,YES
Harry Potter: Quidditch World Cup,GC,2003,Sports,Electronic Arts,0.31,0,0.01,68,16,8.5,10,Electronic Arts,E,YES
Viewtiful Joe,PS2,2004,Action,Capcom,0.14,0,0.04,90,34,8.5,35,Clover Studio,T,YES
DiRT Showdown,PS3,2012,Racing,Codemasters,0.02,0,0.03,75,27,6.3,43,Codemasters,E10+,YES
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,15,0.24,1.69,61,45,6.3,106,Good Science Studio,E,YES
Dragon's Dogma,X360,2012,Role-Playing,Capcom,0.42,0.07,0.06,75,59,7.8,320,Capcom,M,YES
Call of Juarez,PC,2006,Shooter,Ubisoft,0,0,0,72,25,7.8,223,Techland,M,YES
Battlefield: Bad Company 2,PS3,2010,Shooter,Electronic Arts,1.33,0.08,0.44,88,59,8.5,572,EA DICE,M,YES
Gungrave,PS2,2002,Shooter,Activision,0.09,0,0.02,65,28,8.6,16,Seta Corporation,M,YES
FIFA Street,XB,2005,Sports,Electronic Arts,0.08,0,0,60,21,8,9,EA Canada,E,YES
FIFA Street 2,DS,2006,Sports,Electronic Arts,0.04,0,0,43,5,7.5,4,Exient Entertainment,E,YES
Doom,GBA,2001,Shooter,Activision,0.1,0,0,81,24,8.5,15,David A. Palmer Productions,T,YES
LifeSigns: Surgical Unit,DS,2005,Simulation,JoWood Productions,0.01,0,0,61,17,7.8,5,Spike,T,YES
MotoGP 10/11,PS3,2011,Racing,Capcom,0.04,0,0.03,68,32,6.1,23,Monumental Games,E,YES
Food Network: Cook or Be Cooked,Wii,2009,Misc,Namco Bandai Games,0.41,0,0.03,53,8,6.8,5,Red Fly Studio,E,YES
Mass Effect,X360,2007,Role-Playing,Microsoft Game Studios,1.83,0.03,0.27,91,74,8.7,1692,BioWare,M,YES
Darkest of Days,X360,2009,Shooter,Phantom EFX,0.09,0,0.01,44,25,4.8,76,8Monkey Labs,M,YES
The World Ends With You,DS,2007,Role-Playing,Square Enix,0.49,0.21,0.04,88,59,8.9,283,Jupiter Corporation,T,YES
James Noir's Hollywood Crimes,3DS,2011,Adventure,Ubisoft,0.07,0,0.01,60,22,6.6,5,Ubisoft,T,YES
Harvest Moon: Magical Melody,Wii,2008,Simulation,Rising Star Games,0.23,0,0.02,69,14,8.8,17,Marvelous Entertainment,E,YES
Blood Drive,X360,2010,Racing,Activision,0.09,0,0.01,40,21,6.5,10,Sidhe Interactive,M,YES
Summon Night: Swordcraft Story,GBA,2003,Role-Playing,Banpresto,0.02,0,0,77,20,8.1,19,Flight-Plan,E10+,YES
Jurassic Park: Operation Genesis,XB,2003,Simulation,Konami Digital Entertainment,0.05,0,0,69,21,8.8,19,Blue Tongue Entertainment,T,YES
Max Payne 3,PS3,2012,Shooter,Take-Two Interactive,0.59,0.06,0.3,87,31,7.8,790,Rockstar Studios,M,YES
Star Trek: Tactical Assault,PSP,2006,Strategy,Ubisoft,0.02,0,0,64,15,7.9,10,Quicksilver Software,E,YES
The Legend of Spyro: Dawn of the Dragon,DS,2008,Platform,Vivendi Games,0.26,0,0.05,57,9,6.8,10,Etranges Libellules,E,YES
Madden NFL 13,PS3,2012,Sports,Electronic Arts,0,0,0,83,22,5.5,101,EA Tiburon,E,YES
Just Dance 4,X360,2012,Misc,Ubisoft,0.9,0,0.09,77,23,7.7,36,Ubisoft,E10+,YES
World Poker Tour,XB,2005,Misc,Take-Two Interactive,0.05,0,0,63,17,7.8,4,2K Sports,T,YES
WordJong,DS,2007,Puzzle,White Park Bay Software,0.13,0,0.01,77,9,7.7,9,Magellan Interactive,E,YES
MotoGP 14 ,PS4,2014,Racing,Milestone S.r.l.,0.04,0,0.03,73,28,6.4,26,Milestone S.r.l,E,YES
Unreal Tournament III,PS3,2007,Shooter,Midway Games,0.33,0,0.1,86,42,7.7,127,Epic Games,M,YES
Naruto Shippuden: Kizuna Drive,PSP,2010,Action,Namco Bandai Games,0.04,0.05,0.01,57,22,5,6,Premium Agency,T,YES
Tony Hawk's Underground,GBA,2003,Sports,Activision,0.43,0,0.01,86,9,7.7,9,Vicarious Visions,E,YES
UFC: Tapout 2,XB,2003,Fighting,Capcom,0.08,0,0,66,14,7.3,4,DreamFactory,T,YES
The Mummy: Tomb of the Dragon Emperor,PS2,2008,Action,Vivendi Games,0.12,0,0.03,38,7,6.8,6,Eurocom Entertainment Software,T,YES
Medal of Honor,PC,2010,Shooter,Electronic Arts,0.2,0,0.06,72,26,6.4,516,"Dice, Danger Close",M,YES
Cursed Mountain,Wii,2009,Adventure,Deep Silver,0.09,0,0.02,67,51,7.6,33,"Deep Silver, Sproing Interactive Media, Sproing",M,YES
Rayman Origins,3DS,2012,Platform,Ubisoft,0.06,0,0.01,71,8,6.3,65,UBlart Montpellier,E10+,YES
Harry Potter and the Sorcerer's Stone,XB,2003,Action,Electronic Arts,0.05,0,0,59,11,6,5,Warthog,E,YES
Jimmie Johnson's Anything With an Engine,PS3,2011,Racing,Konami Digital Entertainment,0.07,0,0.01,67,5,6.8,4,Isopod Labs,E10+,YES
World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,2.57,0,0,91,46,7.9,785,Blizzard Entertainment,T,YES
Suikoden Tierkreis,DS,2008,Role-Playing,Konami Digital Entertainment,0.09,0.15,0.01,76,24,7.4,37,Konami,E10+,YES
2014 FIFA World Cup Brazil,X360,2014,Sports,Electronic Arts,0.15,0,0.03,74,29,4.4,93,EA Canada,E,YES
Teenage Mutant Ninja Turtles,GBA,2003,Action,Unknown,0.67,0,0.02,71,16,8.8,8,Konami,E,YES
Battleborn,PC,2016,Shooter,Take-Two Interactive,0.04,0,0.01,69,34,6.9,400,Gearbox Software,T,YES
Spy Hunter: Nowhere To Run,PS2,2006,Racing,Midway Games,0.01,0,0,51,21,6,6,Terminal Reality,T,YES
Toy Story Racer,PS,2001,Racing,Activision,0.08,0,0.01,76,8,8.7,9,Traveller's Tales,E,YES
Call of Duty: Infinite Warfare,XOne,2016,Shooter,Activision,1.46,0,0.22,78,17,3.1,290,Infinity Ward,M,YES
Quake 4,X360,2005,Shooter,Activision,0.32,0,0.03,75,52,6.7,80,Raven Software,M,YES
Mega Man Battle Chip Challenge,GBA,2003,Misc,Capcom,0.08,0,0,54,25,8.3,8,Capcom,E,YES
Harry Potter and the Half-Blood Prince,DS,2009,Action,Electronic Arts,0.2,0,0.07,48,9,4.3,7,EA Bright Light,E,YES
Just Cause,PC,2006,Action,Eidos Interactive,0,0,0,75,21,7.3,206,Avalanche Studios,M,YES
Dragon Ball Z: Supersonic Warriors,GBA,2004,Fighting,Atari,0.36,0,0.01,73,26,7,21,Arc System Works,T,YES
Broken Sword 5: The Serpent's Curse,PS4,2015,Adventure,Revolution Software,0,0,0.01,72,14,7.2,23,Revolution Software,T,YES
SSX Tricky,XB,2001,Sports,Electronic Arts,0.32,0,0.02,88,22,8.5,11,EA Sports Big,E,YES
Darksiders: Warmastered Edition,PS4,2016,Action,Nordic Games,0.02,0,0,79,9,8.5,15,Nordic Games Publishing,M,YES
Grandia,PS,1999,Role-Playing,Ubisoft,0.14,0,0.02,89,14,6.6,77,Game Arts,E,YES
FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,0.07,1.37,86,37,4.3,576,EA Canada,E,YES
FIFA Soccer 2004,GC,2003,Sports,Electronic Arts,0.05,0,0,83,17,6.2,12,EA Canada,E,YES
Backyard Baseball,GC,2003,Sports,Infogrames,0.1,0,0,70,4,9.4,5,Humongous Entertainment,E,YES
Dark Sector,PS3,2008,Shooter,D3Publisher,0.23,0.01,0.07,72,47,7.6,70,Digital Extremes,M,YES
Saints Row: The Third,PS3,2011,Action,THQ,0.86,0.18,0.38,82,50,7.7,384,Volition Inc.,M,YES
F1 2011,3DS,2011,Racing,Codemasters,0.07,0,0.02,59,15,6.8,13,Codemasters,E,YES
Syphon Filter: Dark Mirror,PS2,2007,Shooter,Sony Computer Entertainment,0.14,0,0.04,70,24,7.8,12,Sony Bend,T,YES
LEGO Dimensions,WiiU,2015,Action,Warner Bros. Interactive Entertainment,0.3,0,0.05,62,5,6.5,29,Traveller's Tales,E10+,YES
Ape Escape Academy,PSP,2004,Misc,Sony Computer Entertainment,0.13,0,0.05,51,48,5.8,4,Shift,E10+,YES
Pro Evolution Soccer 2015,XOne,2014,Sports,Konami Digital Entertainment,0.03,0,0.01,79,9,7.3,65,Konami,E,YES
Madden NFL 09,PS3,2008,Sports,Electronic Arts,1.56,0,0.18,85,38,4.4,132,EA Tiburon,E,YES
Scribblenauts Unmasked: A DC Comics Adventure,WiiU,2013,Puzzle,Warner Bros. Interactive Entertainment,0.09,0,0.01,71,17,6.3,39,5TH Cell,E10+,YES
Armored Core V,PS3,2012,Simulation,Namco Bandai Games,0.09,0.24,0.02,65,26,7.3,47,From Software,T,YES
Star Ocean: Second Evolution,PSP,2008,Role-Playing,Square Enix,0.14,0.16,0.02,75,37,7.1,26,TOSE,T,YES
Zone of the Enders,PS2,2001,Shooter,Konami Digital Entertainment,0.3,0.13,0.08,78,21,7.4,49,KCEJ,M,YES
Galactic Wrestling: Featuring Ultimate Muscle,PS2,2004,Fighting,Namco Bandai Games,0.03,0.17,0.01,61,12,8,5,Aki Corp.,T,YES
FIFA Soccer 11,PC,2010,Sports,Electronic Arts,0,0,0.04,83,16,7.7,102,EA Sports,E,YES
BlazBlue: Calamity Trigger Portable,PSP,2010,Fighting,PQube,0.07,0.03,0.01,82,14,7.8,18,Arc System Works,T,YES
TimeShift,PS3,2007,Shooter,Vivendi Games,0.14,0,0.01,70,16,6.3,27,Saber Interactive,M,YES
Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,1.41,0.1,0.7,80,39,7.5,613,Ubisoft Montreal,M,YES
Jade Cocoon 2,PS2,2001,Role-Playing,Ubisoft,0.05,0,0.01,76,16,7.8,22,Genki,T,YES
Winter Stars,X360,2011,Sports,Deep Silver,0.05,0,0.01,46,9,6.5,4,49Games,E,YES
Driver: San Francisco,PC,2011,Racing,Ubisoft,0.05,0,0.03,80,11,7,332,Ubisoft Reflections,T,YES
Killer7,PS2,2005,Action,Capcom,0.04,0,0.01,70,39,8.1,36,Grasshopper Manufacture,M,YES
Catherine,X360,2011,Adventure,Deep Silver,0.2,0.03,0.02,82,39,7.9,153,Atlus,M,YES
Wall-E,PS3,2008,Platform,THQ,0.12,0,0.08,51,24,5,7,Heavy Iron Studios,E,YES
Baja: Edge of Control,PS3,2008,Racing,THQ,0.1,0,0.03,61,21,5,11,2XL Games,E,YES
NBA Jam,Wii,2010,Sports,Electronic Arts,0.36,0,0.02,79,43,8.5,20,EA Canada,E,YES
Samurai Warriors 4: Empires,PS4,2015,Action,Tecmo Koei,0.02,0.06,0.01,71,29,6.5,15,Omega Force,T,YES
Borderlands 2,PS3,2012,Shooter,Take-Two Interactive,1.05,0.1,0.35,91,25,8.2,858,Gearbox Software,M,YES
PlayStation All-Stars Battle Royale,PS3,2012,Action,Sony Computer Entertainment,0.5,0.04,0.15,74,69,7.3,540,SuperBot Entertainment,T,YES
Ben 10 Ultimate Alien: Cosmic Destruction,X360,2010,Platform,D3Publisher,0.1,0,0.02,51,5,5.3,4,Papaya Studios,E10+,YES
Call of Duty: Advanced Warfare,PC,2014,Shooter,Activision,0.15,0,0.03,78,18,4.5,1136,Sledgehammer Games,M,YES
Nobunaga's Ambition: Iron Triangle,PS2,2006,Strategy,Tecmo Koei,0.04,0,0.01,76,8,8,7,Koei,E10+,YES
Virtua Tennis 3,PSP,2007,Sports,Sega,0.02,0,0.01,79,17,7.7,13,Sumo Digital,E,YES
The Legend of Heroes: Trails of Cold Steel,PSV,2013,Role-Playing,Nippon Ichi Software,0.05,0.14,0.02,77,20,7.5,132,Falcom,T,YES
Need for Speed: Most Wanted,GC,2005,Racing,Electronic Arts,0.43,0,0.02,80,18,9.1,22,EA Canada,T,YES
World's Scariest Police Chases,PS,2001,Racing,Activision,0.2,0,0.02,54,16,6.3,4,UDS,T,YES
Phineas and Ferb: Across the 2nd Dimension,Wii,2011,Action,Disney Interactive Studios,0.35,0,0.05,76,4,8.3,6,High Impact Games,E10+,YES
Ferrari F355 Challenge,PS2,2002,Racing,Sony Computer Entertainment,0.03,0,0.01,70,14,4.4,5,Sega AM2,E,YES
Final Fantasy Fables: Chocobo Tales,DS,2006,Adventure,Ubisoft,0.1,0.12,0.01,75,42,7.4,28,h.a.n.d. Inc.,E,YES
NHL 2003,PS2,2002,Sports,Electronic Arts,0.46,0,0.12,79,20,6.8,18,EA Sports,E,YES
Need for Speed: Hot Pursuit,PC,2010,Racing,Electronic Arts,0.12,0,0.05,86,14,6.7,556,Criterion Games,E10+,YES
Sorcery Saga: The Curse of the Great Curry God,PSV,2013,Role-Playing,Rising Star Games,0,0.03,0,65,17,7.3,44,Zerodiv,T,YES
Naruto: Clash of Ninja Revolution 2,Wii,2008,Fighting,Tomy Corporation,0.34,0,0.03,72,20,8.4,16,Eighting,T,YES
Fate/Extra,PSP,2010,Role-Playing,Marvelous Interactive,0.18,0.1,0.03,58,10,8.1,39,"Image Epoch, Imageepoch",T,YES
NHL 2005,GC,2004,Sports,Electronic Arts,0.05,0,0,75,18,5.6,5,EA Sports,E,YES
Super Paper Mario,Wii,2007,Platform,Nintendo,1.95,0.59,0.31,85,56,7.9,417,Intelligent Systems,E,YES
Summon Night 5,PSP,2013,Role-Playing,Namco Bandai Games,0,0.15,0,74,7,8.3,6,Felistella,T,YES
Spider-Man 2,GC,2004,Action,Activision,0.65,0,0.02,80,41,8.8,30,Treyarch,T,YES
The Legend of Heroes: Trails of Cold Steel,PS3,2013,Role-Playing,Nippon Ichi Software,0.05,0.12,0.01,86,12,7.7,128,Falcom,T,YES
Okage: Shadow King,PS2,2001,Role-Playing,Sony Computer Entertainment,0.14,0.08,0.04,70,23,8.5,14,Zener Works,T,YES
Naruto Shippuden: Clash of Ninja Revolution 3,Wii,2009,Fighting,Nintendo,0.44,0,0.04,74,23,8.1,21,8ing/Raizing,T,YES
